payment_id,order_id,payment_date,payment_method,amount,status
37,33,2025-11-29 23:52:23,card,1119.36,failed
38,34,2024-03-09 19:59:22,card,1048.47,paid
39,35,2025-04-05 21:10:52,paypal,1682.84,paid
40,36,2023-05-26 09:54:11,paypal,4931.75,paid
41,37,2023-05-03 11:11:36,bank_transfer,197.19,refunded
42,38,2023-12-06 11:53:45,card,1573.26,paid
43,38,2025-12-07 05:02:21,card,1573.26,paid
44,39,2023-07-23 02:32:33,bank_transfer,906.04,paid
45,40,2025-11-01 19:21:22,bank_transfer,106.49,paid
46,41,2025-02-22 07:15:29,card,919.95,paid
47,42,2025-03-24 01:49:29,paypal,1739.16,paid
48,42,2023-03-31 16:34:35,card,1739.16,paid
49,43,2023-05-06 18:22:19,bank_transfer,3251.09,refunded
50,44,2023-03-21 09:37:14,card,683.14,paid
51,45,2024-09-27 06:30:00,bank_transfer,116.45,refunded
52,46,2023-05-17 06:07:10,card,1392.62,paid
53,47,2024-06-10 10:11:09,bank_transfer,938.7,paid
54,48,2024-08-03 12:39:34,card,3307.45,paid
55,49,2025-12-15 21:36:02,card,5918.38,paid
56,50,2023-05-25 17:50:10,card,2293.43,paid
57,51,2024-07-01 19:07:27,paypal,1858.0,paid
58,52,2024-03-29 07:48:09,card,3547.24,paid
59,53,2024-02-28 10:35:06,card,5229.99,paid
60,54,2023-06-06 19:29:03,card,1772.3,paid
61,55,2024-12-02 15:28:24,paypal,1576.66,paid
62,55,2023-11-19 10:06:58,wallet,2542.09,refunded
63,56,2025-05-30 09:00:28,card,4818.2,refunded
64,57,2023-03-12 20:51:51,card,2629.65,refunded
65,58,2025-02-16 20:29:28,card,490.71,paid
66,59,2023-03-12 08:00:24,card,503.15,paid
67,60,2025-04-19 09:35:37,card,650.84,paid
68,61,2024-11-24 11:40:35,card,5453.94,paid
69,62,2023-11-07 02:23:46,card,2685.83,paid
70,63,2025-07-16 11:43:52,bank_transfer,2105.74,paid
71,64,2023-02-01 03:05:06,card,1342.09,paid
72,65,2023-11-18 04:09:11,paypal,1018.96,paid
73,66,2025-05-07 07:33:11,card,462.06,paid
74,67,2025-02-21 16:07:36,card,47.36,failed
75,67,2025-03-22 10:58:50,card,223.13,paid
76,68,2025-12-19 22:26:02,card,1444.02,failed
77,68,2023-11-01 00:02:38,card,973.02,refunded
78,69,2025-03-29 09:19:25,bank_transfer,3334.94,paid
79,70,2023-02-14 17:38:44,paypal,278.59,refunded
80,71,2025-06-03 01:27:49,paypal,866.53,paid
81,71,2023-01-06 18:48:55,card,866.53,paid
82,72,2025-06-21 13:03:25,card,209.57,paid
83,73,2023-02-12 14:08:52,card,3467.64,paid
84,74,2023-04-01 16:02:48,card,2807.51,paid
85,75,2025-09-06 19:26:53,card,460.97,paid
86,75,2024-01-21 08:11:42,paypal,460.97,paid
87,76,2023-11-25 14:11:03,bank_transfer,684.8,paid
88,77,2023-04-25 19:01:35,paypal,1316.48,paid
89,78,2025-11-14 01:19:41,card,3431.53,paid
90,79,2023-07-25 06:32:34,card,3926.37,paid
91,80,2024-02-19 03:52:12,bank_transfer,1141.62,failed
92,81,2025-08-06 17:53:31,paypal,1862.19,paid
93,82,2023-06-05 07:31:27,bank_transfer,2551.02,paid
94,83,2025-02-02 09:33:33,card,1235.27,paid
95,83,2025-02-12 19:05:37,card,1235.27,paid
96,84,2023-05-05 13:06:54,paypal,1211.91,refunded
97,85,2025-02-27 19:22:26,card,80.22,failed
98,86,2025-03-01 18:43:29,card,4740.46,paid
99,87,2025-07-01 19:45:44,card,2675.72,paid
100,88,2025-04-13 23:59:20,card,3120.2,paid
101,89,2023-07-01 15:57:15,card,969.0,paid
102,90,2023-03-05 09:43:19,card,2057.42,paid
103,91,2025-09-20 13:02:36,paypal,253.0,paid
104,92,2023-07-19 04:26:50,paypal,922.99,paid
105,93,2024-04-28 22:06:19,card,2232.56,paid
106,94,2024-08-17 10:02:43,paypal,1102.23,paid
107,95,2023-07-19 11:51:41,card,586.7,paid
108,95,2025-08-11 23:01:31,paypal,586.7,paid
109,96,2024-05-17 10:01:39,card,2080.63,paid
110,97,2024-11-17 16:28:16,paypal,1085.01,paid
111,98,2025-01-04 13:35:53,card,2076.51,paid
112,99,2023-07-18 04:39:08,card,127.21,refunded
113,100,2025-01-28 20:06:38,paypal,696.36,paid
114,101,2025-08-21 17:47:07,card,737.85,paid
115,101,2025-10-26 18:21:28,card,737.85,paid
116,102,2025-12-05 03:16:35,card,1180.23,paid
117,103,2023-06-17 17:56:31,card,1058.7,failed
118,104,2025-07-11 08:50:56,card,726.66,chargeback
119,105,2025-07-21 08:51:54,card,2068.19,paid
120,106,2023-07-30 04:19:03,wallet,1482.16,paid
121,107,2023-11-03 16:49:48,paypal,191.92,paid
122,108,2023-01-16 21:12:46,paypal,2608.96,paid
123,109,2025-01-03 11:03:35,card,725.6,paid
124,110,2024-04-03 03:11:37,paypal,1510.89,paid
125,111,2024-08-16 22:42:48,card,2715.85,paid
126,112,2024-08-16 02:57:31,paypal,3286.68,paid
127,113,2024-11-25 23:18:01,card,2963.18,paid
128,114,2025-12-22 19:50:17,paypal,1919.24,paid
129,114,2025-10-15 12:20:25,wallet,1919.24,paid
130,115,2023-04-08 09:15:17,bank_transfer,129.45,failed
131,116,2023-12-22 03:42:43,card,2174.1,paid
132,117,2025-05-11 17:03:07,card,717.09,failed
133,118,2025-01-29 02:28:00,card,2216.25,paid
134,118,2025-10-15 04:50:01,bank_transfer,2216.25,paid
135,119,2024-01-03 12:22:07,wallet,2556.22,paid
136,120,2023-05-09 21:51:46,card,2379.06,paid
137,121,2024-09-05 07:34:00,card,120.26,paid
138,122,2024-01-23 11:14:14,card,1236.71,paid
139,123,2024-07-01 02:05:42,card,2983.93,paid
140,124,2025-08-02 06:26:44,card,33.98,failed
141,125,2023-03-24 14:04:45,paypal,700.56,paid
142,126,2023-07-31 07:19:01,card,1697.74,paid
143,127,2023-07-14 13:13:00,card,868.77,paid
144,128,2023-02-08 23:22:33,card,766.71,paid
145,129,2023-09-06 13:31:55,card,1164.49,refunded
146,129,2023-05-28 17:10:27,card,1030.21,paid
147,130,2025-07-14 06:31:49,card,1101.22,paid
148,131,2023-03-26 12:33:40,card,1313.77,paid
149,132,2024-08-16 04:01:01,paypal,4743.1,paid
150,133,2024-09-26 07:44:39,paypal,54.52,failed
151,134,2023-06-01 12:00:54,card,1529.3,paid
152,135,2025-12-22 03:20:11,card,67.94,paid
153,136,2023-06-16 06:38:29,paypal,320.76,paid
154,136,2024-10-14 17:14:21,wallet,320.76,paid
155,137,2025-11-02 16:53:36,paypal,2765.38,paid
156,138,2023-02-13 18:44:18,wallet,1165.02,paid
157,139,2023-06-14 00:06:27,paypal,989.38,failed
158,140,2023-03-23 20:44:22,paypal,763.0,paid
159,140,2025-05-20 05:31:27,card,763.0,paid
160,141,2024-03-02 18:56:22,bank_transfer,1396.68,paid
161,141,2024-12-23 13:30:00,card,1396.68,paid
162,142,2023-08-21 19:09:05,card,1125.7,refunded
163,143,2023-09-22 17:50:01,card,6176.17,paid
164,144,2025-01-18 20:27:09,card,1433.18,paid
165,145,2023-02-07 06:15:39,card,3442.58,paid
166,146,2025-05-27 14:58:29,paypal,1510.6,refunded
167,147,2024-01-27 13:05:01,card,2813.12,paid
168,148,2024-05-24 20:43:16,card,1083.75,failed
169,149,2025-03-22 10:54:19,card,90.94,failed
170,150,2024-05-27 12:10:32,card,26.24,paid
171,151,2023-09-08 08:23:13,paypal,1575.41,paid
172,152,2023-02-11 17:07:41,paypal,366.68,paid
173,152,2024-01-15 09:23:19,card,366.68,paid
174,153,2024-05-29 17:47:21,bank_transfer,738.13,paid
175,154,2025-03-09 18:42:34,paypal,2698.65,paid
176,155,2024-11-23 07:38:06,card,2721.44,refunded
177,155,2023-03-15 03:54:22,paypal,3564.75,paid
178,156,2024-03-02 20:06:21,card,1005.01,paid
179,157,2024-03-03 08:11:23,bank_transfer,4815.5,paid
180,158,2025-11-15 14:18:30,card,176.77,paid
181,159,2025-09-04 16:00:22,paypal,4554.24,refunded
182,160,2025-03-31 14:55:52,wallet,976.4,refunded
183,160,2025-06-17 21:23:32,bank_transfer,1731.92,paid
184,161,2023-01-17 13:49:20,card,2072.49,paid
185,162,2023-11-13 04:55:28,card,541.68,paid
186,162,2024-03-21 23:20:13,paypal,541.68,paid
187,163,2023-04-12 04:01:43,card,3327.47,paid
188,164,2023-02-23 13:35:21,card,4908.27,paid
189,165,2024-06-19 10:47:33,card,3306.69,paid
190,166,2023-09-11 03:16:42,card,699.52,failed
191,167,2023-10-08 19:39:11,card,1487.18,paid
192,168,2025-06-05 16:29:53,paypal,4519.91,paid
193,169,2023-04-18 18:14:54,card,382.08,paid
194,170,2025-08-30 23:00:46,paypal,40.46,refunded
195,171,2025-10-16 20:06:40,bank_transfer,3974.17,paid
196,172,2023-07-15 20:40:30,bank_transfer,33.69,paid
197,173,2023-09-26 05:32:42,card,3305.56,paid
198,174,2024-06-08 00:14:41,card,1274.94,refunded
199,175,2025-05-25 19:04:07,paypal,3145.33,refunded
200,176,2023-04-18 22:08:46,card,1802.01,paid
201,177,2025-04-15 12:15:53,card,1251.07,paid
202,177,2023-07-03 09:10:33,card,1251.07,paid
203,178,2025-01-28 20:59:14,bank_transfer,1736.82,paid
204,179,2024-06-11 05:54:48,card,2677.56,paid
205,180,2024-02-28 22:53:36,card,2172.03,paid
206,181,2025-04-05 17:23:46,paypal,2406.84,paid
207,182,2024-06-26 14:53:14,bank_transfer,2460.74,paid
208,183,2025-06-09 00:45:11,card,2185.69,paid
209,184,2024-11-14 11:04:47,card,1530.11,paid
210,185,2023-01-01 19:47:32,card,4897.28,paid
211,186,2023-09-26 17:19:11,card,5196.27,paid
212,187,2025-03-09 16:25:36,card,4.66,failed
213,187,2024-09-07 02:42:21,card,183.4,refunded
214,188,2024-03-30 04:20:39,card,2114.7,paid
215,189,2024-02-09 12:59:37,paypal,555.81,paid
216,189,2023-05-05 23:14:52,card,571.55,refunded
217,190,2023-07-11 03:58:49,card,924.39,refunded
218,190,2024-01-10 18:54:12,card,576.68,paid
219,191,2024-03-29 15:28:06,paypal,1389.17,paid
220,192,2025-08-06 18:58:01,card,504.26,refunded
221,193,2025-06-04 00:17:31,card,3502.7,paid
222,194,2023-12-04 08:54:19,bank_transfer,1150.14,paid
223,195,2025-02-19 10:41:40,wallet,2426.52,paid
224,196,2024-08-20 20:52:58,card,500.81,failed
225,197,2024-04-19 15:13:50,wallet,2350.63,paid
226,198,2024-03-16 10:38:11,wallet,320.13,refunded
227,199,2023-08-28 17:52:33,paypal,3156.14,paid
228,200,2023-08-24 12:45:10,card,1004.88,paid
229,201,2025-07-06 04:26:22,wallet,396.63,failed
230,202,2025-02-04 14:44:48,card,1734.97,paid
231,203,2025-04-21 14:00:05,card,335.09,paid
232,203,2024-07-07 09:50:17,card,335.09,paid
233,204,2024-07-22 09:01:39,card,3656.76,paid
234,205,2025-10-14 09:35:52,card,530.29,failed
235,206,2024-02-15 03:28:47,card,3311.7,paid
236,207,2024-06-28 19:15:05,card,696.64,paid
237,208,2023-05-22 15:34:43,card,777.24,paid
238,209,2024-01-31 13:29:14,card,3684.38,paid
239,210,2025-09-05 14:14:54,paypal,848.25,paid
240,211,2025-04-15 22:41:22,wallet,1630.58,refunded
241,212,2025-01-15 20:09:25,paypal,386.53,chargeback
242,212,2025-05-24 07:36:55,wallet,724.23,refunded
243,213,2025-11-07 20:21:42,bank_transfer,3430.5,paid
244,214,2024-01-11 01:47:54,bank_transfer,2190.93,paid
245,215,2024-07-02 01:29:49,wallet,1548.08,paid
246,216,2025-01-23 00:16:55,card,2072.76,paid
247,217,2023-07-18 12:51:01,bank_transfer,1758.28,paid
248,218,2024-02-11 10:55:55,paypal,2475.76,paid
249,219,2024-04-01 15:09:17,wallet,2090.28,paid
250,220,2023-07-09 02:36:08,bank_transfer,3259.98,paid
251,221,2025-02-27 02:35:35,card,1142.74,refunded
252,222,2024-06-03 08:39:39,card,1029.46,refunded
253,223,2024-04-16 18:41:07,card,3938.81,paid
254,224,2025-06-26 22:21:14,card,1089.82,paid
255,225,2023-03-04 08:10:12,bank_transfer,216.07,failed
256,226,2025-11-15 16:27:08,paypal,4039.94,paid
257,227,2025-04-06 14:07:06,card,1315.61,paid
258,228,2025-06-02 00:47:51,card,459.8,failed
259,229,2024-10-15 06:18:38,card,1317.66,paid
260,230,2024-07-10 18:55:01,paypal,1064.56,refunded
261,231,2024-04-27 16:41:25,wallet,2469.74,paid
262,231,2023-05-22 15:55:28,wallet,2469.74,paid
263,232,2025-08-18 04:07:12,card,4980.24,paid
264,233,2024-12-31 21:40:32,card,680.33,paid
265,233,2023-08-27 21:10:54,bank_transfer,680.33,paid
266,234,2025-09-21 10:55:13,card,1244.9,paid
267,235,2023-05-30 05:37:02,card,3997.07,paid
268,236,2025-07-17 03:08:57,card,1910.42,paid
269,237,2024-03-04 06:46:49,paypal,207.38,paid
270,238,2024-03-24 00:12:32,card,850.66,refunded
271,239,2023-01-18 01:10:24,card,3439.28,paid
272,240,2025-10-15 08:30:34,paypal,855.65,paid
273,241,2025-11-18 00:13:23,paypal,69.77,refunded
274,242,2025-08-09 06:30:37,card,3877.14,paid
275,243,2024-11-12 00:22:30,card,333.04,refunded
276,244,2025-10-15 06:27:32,card,5286.8,paid
277,245,2024-07-17 02:22:52,card,64.16,refunded
278,246,2025-03-20 06:12:44,card,2148.63,paid
279,247,2025-02-23 16:26:18,card,2489.58,paid
280,248,2024-06-16 15:08:37,card,2164.36,paid
281,249,2024-12-12 05:36:14,card,649.12,paid
282,250,2024-01-16 07:12:44,paypal,559.07,paid
283,251,2024-11-11 02:51:57,paypal,1290.06,refunded
284,252,2023-02-28 08:55:41,bank_transfer,601.45,paid
285,253,2025-08-02 14:57:19,card,512.98,paid
286,253,2024-08-15 02:46:03,card,512.98,paid
287,254,2024-06-16 12:07:00,card,2630.83,paid
288,255,2023-07-08 12:33:49,paypal,79.64,paid
289,255,2025-08-07 19:05:00,card,79.64,paid
290,256,2023-02-16 20:26:56,card,2562.7,paid
291,257,2023-05-04 17:44:42,card,71.75,paid
292,257,2025-03-10 05:54:38,bank_transfer,109.36,refunded
293,258,2024-04-23 02:10:07,card,1269.84,refunded
294,259,2024-02-29 14:14:28,card,4696.35,paid
295,260,2025-08-15 13:51:46,card,365.47,refunded
296,261,2025-02-07 18:11:23,paypal,1661.75,paid
297,262,2023-12-25 16:33:30,card,336.12,paid
298,263,2023-08-11 08:04:40,card,4083.53,refunded
299,264,2025-08-31 09:43:06,card,3275.87,paid
300,265,2023-11-05 11:17:29,card,2219.77,refunded
301,266,2025-04-05 12:14:47,card,2846.89,paid
302,267,2024-10-07 18:56:05,card,2249.72,paid
303,268,2023-05-14 04:05:04,card,1719.1,paid
304,269,2024-03-03 19:54:06,card,1907.52,paid
305,270,2025-01-29 20:12:11,card,418.76,paid
306,271,2024-07-23 18:48:12,paypal,5076.79,chargeback
307,272,2025-03-11 02:51:17,card,456.01,paid
308,273,2024-04-23 20:27:25,card,2700.43,paid
309,274,2025-08-07 17:18:20,wallet,325.28,paid
310,275,2025-05-09 05:52:25,wallet,1314.15,paid
311,276,2023-07-13 06:06:24,paypal,2162.13,paid
312,277,2024-09-22 06:35:29,card,2142.28,paid
313,278,2025-12-17 01:15:47,card,1246.71,refunded
314,279,2024-01-29 12:20:23,bank_transfer,3785.85,paid
315,280,2023-12-20 00:57:26,card,4695.04,paid
316,281,2024-09-16 08:36:30,paypal,3178.82,paid
317,282,2025-01-01 23:08:25,card,1847.31,paid
318,283,2025-08-29 02:31:28,paypal,536.13,failed
319,284,2025-12-05 02:55:03,card,2384.27,paid
320,285,2025-01-03 00:22:26,card,1128.65,paid
321,285,2025-07-19 15:37:28,paypal,1128.65,paid
322,286,2023-04-07 08:25:39,paypal,2954.87,paid
323,287,2025-02-03 19:23:27,card,1642.51,paid
324,288,2024-12-08 10:05:25,card,2481.13,paid
325,289,2023-07-15 07:25:48,card,1298.55,paid
326,290,2023-04-26 07:08:45,card,1856.23,refunded
327,290,2025-06-27 08:45:43,paypal,1522.71,paid
328,291,2023-05-15 21:14:10,card,532.04,paid
329,292,2024-04-26 08:13:39,card,1785.52,paid
330,292,2025-02-27 01:10:10,wallet,131.77,refunded
331,293,2023-10-27 20:26:25,bank_transfer,748.87,failed
332,294,2025-05-25 06:27:09,card,2182.19,paid
333,295,2023-11-24 23:39:41,card,344.83,paid
334,296,2025-04-26 05:22:39,card,2645.75,paid
335,297,2025-06-19 15:29:47,paypal,458.47,refunded
336,297,2023-12-27 21:45:09,wallet,1298.71,paid
337,298,2024-06-24 07:34:25,wallet,3339.46,paid
338,299,2025-09-30 19:23:38,card,813.72,refunded
339,299,2025-03-25 08:20:32,paypal,993.44,paid
340,300,2025-05-06 07:32:06,card,991.06,paid
341,300,2025-12-06 00:42:48,card,991.06,paid
342,301,2023-08-04 16:21:01,card,4326.04,paid
343,302,2024-01-15 17:30:27,card,4108.8,paid
344,303,2025-11-06 09:56:53,card,578.54,paid
345,304,2024-08-01 04:06:47,wallet,3754.7,paid
346,305,2025-08-21 16:23:14,paypal,393.97,paid
347,306,2025-12-27 07:28:48,card,1932.94,paid
348,306,2024-12-20 20:50:26,paypal,1932.94,paid
349,307,2024-11-01 01:08:57,card,1580.19,paid
350,308,2024-03-29 11:15:00,card,799.82,failed
351,309,2025-02-20 11:37:46,card,787.42,paid
352,309,2023-05-16 21:52:45,card,787.42,paid
353,310,2023-06-26 22:10:49,card,1023.21,failed
354,311,2025-07-25 13:22:15,card,2079.59,paid
355,312,2023-05-04 02:29:31,paypal,1168.06,refunded
356,312,2024-09-12 10:20:00,card,857.46,paid
357,313,2023-07-21 00:51:05,card,1740.4,paid
358,313,2024-07-18 20:51:25,wallet,1740.4,paid
359,314,2023-12-23 19:05:46,card,1803.01,paid
360,315,2024-12-25 11:59:59,paypal,1469.37,paid
361,316,2023-05-14 17:04:23,card,514.08,paid
362,317,2024-11-02 11:45:43,card,2777.95,paid
363,318,2023-04-23 21:27:51,card,1950.7,paid
364,319,2023-05-05 00:11:34,card,42.42,failed
365,320,2025-03-13 09:11:48,paypal,2784.29,paid
366,321,2023-11-12 15:02:14,card,826.63,paid
367,322,2024-06-28 11:35:17,card,2294.38,paid
368,323,2023-04-14 15:37:04,paypal,3004.99,paid
369,324,2023-07-31 10:02:09,paypal,1823.11,paid
370,325,2024-10-25 23:42:20,card,3910.59,paid
371,326,2023-04-28 00:12:44,card,586.89,paid
372,327,2023-06-11 00:12:16,card,1208.24,paid
373,328,2024-08-30 17:52:54,paypal,1282.9,paid
374,329,2023-07-28 18:03:07,paypal,665.53,paid
375,330,2025-07-18 09:07:05,card,2904.49,paid
376,331,2023-12-31 06:14:46,card,1366.44,paid
377,331,2023-01-12 11:27:20,bank_transfer,1366.44,paid
378,332,2023-02-05 15:31:46,bank_transfer,1013.36,paid
379,333,2024-04-13 12:45:43,paypal,916.44,paid
380,334,2023-07-31 12:08:35,card,2520.94,paid
381,335,2023-03-26 09:59:34,paypal,1665.48,paid
382,336,2025-07-21 02:54:39,card,1848.36,paid
383,337,2023-07-24 04:16:19,paypal,3583.23,paid
384,338,2023-03-11 07:16:21,paypal,3020.03,paid
385,339,2023-09-25 06:45:37,card,334.21,refunded
386,340,2024-09-20 13:54:20,card,30.41,failed
387,341,2024-07-11 18:29:11,card,1866.86,paid
388,342,2023-05-31 07:42:40,card,157.74,paid
389,343,2024-09-19 15:04:24,card,848.76,paid
390,343,2024-09-10 12:38:19,paypal,848.76,paid
391,344,2024-05-24 22:53:13,paypal,3185.73,paid
392,345,2024-03-19 23:22:15,card,23.48,paid
393,346,2024-04-19 11:12:52,wallet,2058.23,paid
394,346,2025-05-10 09:46:22,bank_transfer,2058.23,paid
395,347,2025-07-05 02:32:42,card,189.48,failed
396,348,2023-03-28 02:09:59,card,2578.75,paid
397,349,2024-06-21 13:56:16,card,591.96,paid
398,349,2024-05-16 08:15:44,card,591.96,paid
399,350,2025-06-26 13:42:09,card,2829.86,paid
400,351,2025-10-18 05:12:17,bank_transfer,1226.85,paid
401,352,2024-11-25 04:24:20,paypal,610.82,failed
402,352,2025-08-21 00:13:35,bank_transfer,829.47,paid
403,353,2025-09-19 08:15:32,paypal,1861.4,paid
404,354,2024-02-02 14:02:47,card,45.19,chargeback
405,355,2025-11-09 14:23:49,bank_transfer,7.55,failed
406,356,2023-04-28 08:45:41,card,2487.89,paid
407,357,2025-02-20 00:14:11,card,242.53,paid
408,358,2025-10-15 17:31:50,paypal,1028.16,paid
409,359,2023-12-07 06:08:26,paypal,949.21,paid
410,360,2024-02-19 08:56:48,card,3660.24,paid
411,361,2024-10-10 12:51:30,paypal,4055.77,paid
412,362,2025-03-22 19:12:06,card,550.52,paid
413,363,2023-08-09 06:14:49,card,2050.47,paid
414,363,2025-09-17 14:35:02,card,2050.47,paid
415,364,2024-02-12 00:39:01,wallet,1613.81,paid
416,364,2024-06-17 02:12:43,card,1613.81,paid
417,365,2024-07-22 18:50:46,card,3034.05,paid
418,366,2024-11-03 12:37:04,bank_transfer,3373.58,paid
419,367,2023-12-10 07:10:19,card,3715.0,paid
420,368,2025-01-31 06:10:27,paypal,2898.99,paid
421,369,2023-01-13 15:23:27,card,468.08,failed
422,370,2023-08-27 11:55:14,card,4126.07,paid
423,371,2025-12-04 16:41:15,paypal,840.41,failed
424,372,2025-02-27 21:57:05,card,623.46,paid
425,373,2024-05-09 18:50:27,card,3226.9,paid
426,374,2023-07-07 10:48:14,card,1504.85,paid
427,375,2024-12-05 08:07:33,paypal,2717.71,paid
428,376,2024-08-22 09:38:50,wallet,155.58,failed
429,377,2024-05-09 11:27:50,paypal,3954.53,paid
430,378,2024-08-30 02:24:08,card,1089.99,paid
431,379,2023-09-14 16:24:10,card,2590.52,refunded
432,380,2024-05-11 07:45:32,card,4441.52,paid
433,381,2024-04-03 06:45:11,paypal,1158.23,paid
434,382,2025-06-29 18:17:38,card,1001.29,paid
435,383,2025-10-07 19:13:37,card,2204.82,paid
436,383,2024-09-28 14:00:41,wallet,197.26,refunded
437,384,2025-01-12 06:09:54,bank_transfer,5035.92,paid
438,385,2025-05-18 04:44:22,paypal,4433.6,refunded
439,385,2023-05-31 10:05:39,paypal,2345.97,paid
440,386,2023-07-08 07:51:52,bank_transfer,22.35,failed
441,387,2025-08-09 16:52:37,card,1104.36,failed
442,388,2024-06-21 19:41:02,card,1601.11,paid
443,389,2023-08-04 07:55:13,card,1306.72,failed
444,390,2025-05-23 11:05:22,card,1989.53,paid
445,391,2024-11-10 03:34:36,bank_transfer,483.29,refunded
446,391,2024-04-25 15:08:15,bank_transfer,587.39,refunded
447,392,2024-09-21 14:26:53,card,4642.97,paid
448,393,2024-07-24 20:27:59,bank_transfer,1909.62,paid
449,393,2025-08-29 16:30:33,card,1909.62,paid
450,394,2025-12-25 03:34:00,paypal,707.51,refunded
451,395,2023-02-26 19:54:33,card,971.04,paid
452,395,2023-03-03 15:29:25,bank_transfer,971.04,paid
453,396,2023-10-27 12:55:17,bank_transfer,3056.77,refunded
454,397,2023-04-21 14:09:20,paypal,201.64,paid
455,398,2023-01-24 07:59:26,card,2107.57,paid
456,399,2023-09-08 22:34:23,card,1657.29,paid
457,400,2025-12-22 03:24:46,card,3770.34,paid
458,401,2024-03-17 04:34:55,paypal,2933.08,paid
459,402,2023-08-26 17:38:16,card,3532.04,paid
460,403,2023-07-23 07:31:57,card,1364.33,paid
461,404,2023-10-22 05:25:39,card,1358.35,paid
462,405,2023-12-16 22:11:25,card,1124.42,paid
463,406,2024-11-11 20:29:51,card,3670.21,paid
464,407,2024-03-05 15:01:00,card,1033.41,failed
465,408,2023-11-10 06:31:56,card,3252.54,paid
466,409,2025-03-09 18:05:46,paypal,938.85,paid
467,410,2024-03-21 21:18:24,card,2623.98,paid
468,411,2025-08-17 07:49:43,card,1466.32,paid
469,412,2023-04-01 02:38:28,wallet,1205.44,paid
470,413,2025-07-10 12:58:08,card,474.34,paid
471,414,2023-09-02 05:34:35,card,915.32,paid
472,415,2025-08-05 09:45:32,paypal,409.74,failed
473,416,2024-03-15 20:44:25,card,2107.71,paid
474,417,2024-04-22 01:13:00,card,208.31,failed
475,418,2023-11-24 17:44:42,wallet,1759.09,paid
476,418,2023-06-14 05:14:53,wallet,1759.09,paid
477,419,2023-12-24 15:24:23,card,857.96,refunded
478,420,2025-03-18 02:11:13,card,899.14,refunded
479,421,2024-04-14 02:40:14,wallet,573.99,paid
480,422,2024-04-18 01:10:47,card,3674.37,paid
481,423,2025-08-19 04:55:25,paypal,69.96,paid
482,423,2025-07-29 18:25:47,paypal,69.96,paid
483,424,2023-02-01 18:20:17,card,1273.77,paid
484,425,2023-03-16 04:50:30,bank_transfer,825.08,paid
485,426,2024-07-11 02:43:04,bank_transfer,3267.41,paid
486,427,2025-12-29 12:13:14,wallet,1640.72,paid
487,428,2024-05-06 05:22:52,card,514.9,failed
488,429,2025-06-08 14:11:11,card,814.88,chargeback
489,430,2024-02-15 10:11:00,card,3698.86,paid
490,431,2025-02-02 21:05:51,card,3620.44,paid
491,432,2023-08-19 22:51:20,paypal,3483.5,paid
492,433,2023-02-10 17:10:11,card,1567.34,paid
493,434,2025-06-18 02:24:57,paypal,1959.61,paid
494,435,2024-12-21 16:57:28,card,1566.26,paid
495,436,2023-09-15 22:18:41,card,532.54,paid
496,437,2024-08-31 16:09:38,paypal,705.82,paid
497,438,2025-08-29 02:58:32,card,3114.16,paid
498,439,2023-11-15 03:16:09,card,3336.62,paid
499,440,2024-12-19 05:49:14,card,1751.72,chargeback
500,440,2024-03-14 07:12:57,bank_transfer,1246.19,paid
